,name,age,nationality,club,bp,position,weight,foot,joined,marking,total_stats,base_stats,a/w,d/w,pac,sho,pas,dri,def,phy,hits,ls,st,rs,lw,lf,cf,rf,rw,lam,cam,ram,lm,lcm,cm,rcm,rm,lwb,ldm,cdm,rdm,rwb,lb,lcb,cb,rcb,rb,gk,ova,value_log,wage_log,release_clause_log
18,B. Edomwonyi,25,Nigeria,FK Austria Wien,ST,ST LM,172.0,Right,"Jul 1, 2018",29,1656,366,Medium,Low,85,62,52,67,29,71,6.0,66.0,66.0,66.0,65.0,65.0,65.0,65.0,65.0,63.0,63.0,63.0,64.0,56.0,56.0,56.0,64.0,50.0,45.0,45.0,45.0,50.0,48.0,43.0,43.0,43.0,48.0,17.0,66,5.9164539485499255,3.7781512503836434,7.113943352306837
19,Luis Felipe,24,United States,San Jose Earthquakes,CDM,CDM CM,176.0,Left,"Jan 1, 2018",63,1581,343,Medium,Medium,59,43,55,56,62,68,4.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,59.0,59.0,59.0,56.0,60.0,63.0,63.0,63.0,60.0,60.0,62.0,62.0,62.0,60.0,16.0,64,5.698970004336019,3.3010299956639813,5.882524537954881
20,Ander Iru,21,Spain,Athletic Club de Bilbao,GK,GK,163.0,Right,"Jul 1, 2019",6,887,337,Medium,Medium,66,67,58,58,28,60,7.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,19.0,20.0,20.0,20.0,20.0,21.0,21.0,21.0,20.0,18.0,20.0,20.0,20.0,18.0,18.0,18.0,18.0,18.0,18.0,61.0,62,5.544068044350276,3.3010299956639813,5.905795880367869
21,S. Rossbach,24,Norway,Odds BK,GK,GK,176.0,Right,"Mar 4, 2013",16,1200,385,Medium,Medium,70,66,66,72,44,67,9.0,29.0,29.0,29.0,28.0,31.0,31.0,31.0,28.0,32.0,32.0,32.0,30.0,32.0,32.0,32.0,30.0,28.0,29.0,29.0,29.0,28.0,27.0,27.0,27.0,27.0,27.0,68.0,69,7.041392685158225,3.3010299956639813,7.204119982655925
22,G. Verón,18,Argentina,Argentinos Juniors,ST,ST,181.0,Right,"Jan 28, 2018",29,1428,310,High,Low,63,57,44,58,30,58,4.0,58.0,58.0,58.0,55.0,56.0,56.0,56.0,55.0,54.0,54.0,54.0,54.0,49.0,49.0,49.0,54.0,43.0,41.0,41.0,41.0,43.0,42.0,40.0,40.0,40.0,42.0,13.0,59,5.511883360978874,2.9542425094393248,5.8394780473741985
23,M. Ignatov,20,Russia,Spartak Moscow,CAM,CAM,174.0,Right,"Jul 13, 2018",40,1623,347,Medium,Medium,67,51,65,67,45,52,19.0,58.0,58.0,58.0,63.0,62.0,62.0,62.0,63.0,64.0,64.0,64.0,64.0,63.0,63.0,63.0,64.0,56.0,56.0,56.0,56.0,56.0,55.0,51.0,51.0,51.0,55.0,17.0,64,6.0,3.9030899869919438,7.342422680822207
24,T. Hopper,26,England,Lincoln City,ST,ST,168.0,Left,"Jan 23, 2020",26,1626,345,High,Medium,63,62,52,61,34,73,7.0,63.0,63.0,63.0,60.0,61.0,61.0,61.0,60.0,59.0,59.0,59.0,59.0,55.0,55.0,55.0,59.0,49.0,48.0,48.0,48.0,49.0,48.0,47.0,47.0,47.0,48.0,15.0,63,5.676693609624866,3.4771212547196626,5.93801909747621
25,R. O'Farrell,18,Republic of Ireland,UCD AFC,CAM,CAM CM,172.0,Right,"Jan 1, 2019",46,1491,322,High,Medium,61,50,51,52,47,61,3.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,53.0,53.0,53.0,53.0,53.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,51.0,15.0,55,5.204119982655925,2.6989700043360187,5.541579243946581
26,D. Potts,26,England,Luton Town,CB,LB,154.0,Left,"Jul 1, 2015",64,1627,358,Medium,Medium,67,39,57,63,65,67,6.0,55.0,55.0,55.0,59.0,57.0,57.0,57.0,59.0,58.0,58.0,58.0,61.0,59.0,59.0,59.0,61.0,64.0,63.0,63.0,63.0,64.0,64.0,65.0,65.0,65.0,64.0,15.0,66,5.829303772831025,3.6020599913279625,7.113943352306837
27,Jovane Cabral,22,Cape Verde,Sporting CP,CAM,LW RW,159.0,Right,"Jul 1, 2015",37,1942,413,High,Medium,87,73,71,81,35,66,430.0,74.0,74.0,74.0,77.0,76.0,76.0,76.0,77.0,76.0,76.0,76.0,76.0,69.0,69.0,69.0,76.0,58.0,54.0,54.0,54.0,58.0,55.0,48.0,48.0,48.0,55.0,17.0,77,8.161368002234974,4.146128035678238,8.503790683057181
28,Zé Luís,29,Cape Verde,FC Porto,ST,ST,176.0,Left,"Jul 5, 2019",36,1889,402,Medium,Medium,80,75,59,75,33,80,89.0,77.0,77.0,77.0,72.0,76.0,76.0,76.0,72.0,73.0,73.0,73.0,71.0,64.0,64.0,64.0,71.0,53.0,52.0,52.0,52.0,53.0,51.0,51.0,51.0,51.0,51.0,18.0,77,6.954242509439325,4.204119982655925,7.2552725051033065
29,M. Aleksandrov,28,Bulgaria,Bulgaria,LM,LM RM LWB,163.0,Left,"Feb 15, 2017",59,1749,387,Medium,Medium,78,62,62,70,54,61,5.0,63.0,63.0,63.0,67.0,65.0,65.0,65.0,67.0,65.0,65.0,65.0,67.0,63.0,63.0,63.0,67.0,63.0,59.0,59.0,59.0,63.0,61.0,54.0,54.0,54.0,61.0,16.0,68,5.954242509439325,4.230448921378274,7.146128035678238
30,F. Mwepu,20,Zambia,SK Sturm Graz,ST,ST,154.0,Right,"Aug 28, 2020",25,1413,316,Medium,Medium,80,59,40,58,23,56,4.0,59.0,59.0,59.0,56.0,57.0,57.0,57.0,56.0,55.0,55.0,55.0,55.0,47.0,47.0,47.0,55.0,41.0,37.0,37.0,37.0,41.0,40.0,34.0,34.0,34.0,40.0,16.0,59,5.439332693830263,3.4771212547196626,5.657055852857104
31,B. Garnica,24,Mexico,Santos Laguna,RM,RM,123.0,Right,"Jan 1, 2019",33,1680,366,Medium,Medium,74,64,64,71,33,60,8.0,63.0,63.0,63.0,68.0,66.0,66.0,66.0,68.0,66.0,66.0,66.0,67.0,61.0,61.0,61.0,67.0,54.0,52.0,52.0,52.0,54.0,50.0,44.0,44.0,44.0,50.0,16.0,68,7.041392685158225,3.9542425094393248,6.301029995663981
33,D. Maldonado,21,Honduras,Pachuca,CB,CB,179.0,Right,"Jan 20, 2020",63,1401,302,Low,High,63,31,39,42,64,63,3.0,45.0,45.0,45.0,42.0,43.0,43.0,43.0,42.0,42.0,42.0,42.0,44.0,46.0,46.0,46.0,44.0,57.0,57.0,57.0,57.0,57.0,59.0,63.0,63.0,63.0,59.0,16.0,64,5.812913356642856,3.4771212547196626,7.079181246047625
34,V. Rama,32,Albania,SV Meppen,LM,LM,172.0,Right,"Aug 20, 2019",33,1602,345,Medium,Low,74,58,60,69,22,62,7.0,59.0,59.0,59.0,64.0,62.0,62.0,62.0,64.0,63.0,63.0,63.0,64.0,56.0,56.0,56.0,64.0,47.0,43.0,43.0,43.0,47.0,43.0,36.0,36.0,36.0,43.0,15.0,65,5.628388930050312,2.9777236052888476,5.789580712164425
35,T. Väyrynen,27,Finland,HJK Helsinki,ST,ST,196.0,Right,"Jul 17, 2019",32,1487,312,Medium,Medium,53,61,47,52,32,67,3.0,61.0,61.0,61.0,53.0,57.0,57.0,57.0,53.0,54.0,54.0,54.0,51.0,50.0,50.0,50.0,51.0,41.0,44.0,44.0,44.0,41.0,41.0,44.0,44.0,44.0,41.0,17.0,61,5.477121254719663,2.6989700043360187,5.824776462475546
36,I. Cissé,19,France,KAA Gent,CB,CB,190.0,Right,"Jul 1, 2019",52,1349,297,Medium,Medium,63,23,44,42,59,66,6.0,41.0,41.0,41.0,40.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,43.0,45.0,45.0,45.0,43.0,54.0,54.0,54.0,54.0,54.0,56.0,60.0,60.0,60.0,56.0,15.0,60,5.628388930050312,3.3010299956639813,5.955687750313506
37,L. Ihorst,20,Germany,VfL Osnabrück,ST,ST,176.0,Left,"Jul 1, 2019",24,1431,306,Medium,Medium,54,61,44,54,29,64,7.0,61.0,61.0,61.0,54.0,58.0,58.0,58.0,54.0,55.0,55.0,55.0,53.0,51.0,51.0,51.0,53.0,41.0,43.0,43.0,43.0,41.0,40.0,42.0,42.0,42.0,40.0,17.0,61,5.653212513775344,3.3010299956639813,0.0
38,I. Sackey,26,Ghana,Hatayspor,CB,CDM CB,194.0,Right,"Aug 26, 2020",72,1725,376,Medium,High,46,59,56,60,73,82,6.0,59.0,59.0,59.0,55.0,56.0,56.0,56.0,55.0,57.0,57.0,57.0,55.0,61.0,61.0,61.0,55.0,63.0,68.0,68.0,68.0,63.0,64.0,72.0,72.0,72.0,64.0,15.0,69,7.041392685158225,3.845098040014257,7.342422680822207
39,T. Nakazato,30,Japan,Gangwon FC,LB,LB CDM,157.0,Left,"Jul 25, 2019",50,1478,308,Medium,Medium,58,38,56,54,50,52,3.0,46.0,46.0,46.0,51.0,49.0,49.0,49.0,51.0,51.0,51.0,51.0,53.0,53.0,53.0,53.0,53.0,54.0,54.0,54.0,54.0,54.0,53.0,51.0,51.0,51.0,53.0,15.0,55,4.778151250383644,3.0,4.8750612633917
40,N. Bustos,21,Argentina,Club Atlético Talleres,ST,ST,141.0,Right,"Jul 1, 2016",33,1885,396,High,Low,79,74,66,77,33,67,239.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,74.0,73.0,73.0,73.0,73.0,66.0,66.0,66.0,73.0,56.0,53.0,53.0,53.0,56.0,53.0,47.0,47.0,47.0,53.0,19.0,74,7.0,4.079181246047625,7.230448921378274
41,G. Mandjeck,31,Cameroon,Waasland-Beveren,CDM,CDM CB,170.0,Right,"Sep 29, 2020",69,1835,398,Medium,High,72,51,63,67,70,75,7.0,62.0,62.0,62.0,63.0,63.0,63.0,63.0,63.0,65.0,65.0,65.0,64.0,67.0,67.0,67.0,64.0,67.0,70.0,70.0,70.0,67.0,68.0,71.0,71.0,71.0,68.0,18.0,71,7.2552725051033065,3.845098040014257,7.414973347970818
42,C. Neyra,25,Peru,Melgar FBC,LB,LB RB,134.0,Left,"Jan 1, 2019",66,1699,370,Medium,Medium,67,46,53,66,65,73,3.0,57.0,57.0,57.0,58.0,57.0,57.0,57.0,58.0,57.0,57.0,57.0,60.0,58.0,58.0,58.0,60.0,64.0,62.0,62.0,62.0,64.0,64.0,64.0,64.0,64.0,64.0,17.0,66,5.860338006570994,2.6989700043360187,7.204119982655925
43,M. Suttner,33,Austria,FK Austria Wien,LB,LB LWB LM,161.0,Left,"Aug 6, 2020",71,1946,403,High,Medium,65,58,72,71,70,67,4.0,63.0,63.0,63.0,67.0,65.0,65.0,65.0,67.0,67.0,67.0,67.0,68.0,68.0,68.0,68.0,68.0,71.0,70.0,70.0,70.0,71.0,71.0,69.0,69.0,69.0,71.0,18.0,73,7.2552725051033065,4.176091259055681,7.414973347970818
45,I. Botella,20,France,RC Strasbourg Alsace,ST,ST,159.0,Right,"May 28, 2019",13,1469,317,Medium,Medium,67,63,44,58,20,65,6.0,63.0,63.0,63.0,57.0,59.0,59.0,59.0,57.0,56.0,56.0,56.0,55.0,49.0,49.0,49.0,55.0,38.0,38.0,38.0,38.0,38.0,37.0,37.0,37.0,37.0,37.0,14.0,64,5.8750612633917,3.6989700043360187,7.230448921378274
46,A. Walongwa,25,Congo,FC Nantes,CB,CB,179.0,Right,"Jan 1, 2015",62,1424,293,Low,Medium,51,28,39,43,63,69,4.0,44.0,44.0,44.0,40.0,42.0,42.0,42.0,40.0,42.0,42.0,42.0,42.0,47.0,47.0,47.0,42.0,53.0,58.0,58.0,58.0,53.0,55.0,63.0,63.0,63.0,55.0,19.0,64,5.698970004336019,3.6989700043360187,6.0
47,Rubén Díez,26,Spain,C.D. Castellón,RM,RM LM CM,137.0,Right,"Jan 21, 2019",20,1687,346,High,Medium,77,64,63,67,24,51,5.0,60.0,60.0,60.0,66.0,64.0,64.0,64.0,66.0,64.0,64.0,64.0,65.0,59.0,59.0,59.0,65.0,50.0,46.0,46.0,46.0,50.0,46.0,37.0,37.0,37.0,46.0,15.0,66,5.845098040014257,3.4771212547196626,7.041392685158225
48,O. Estupiñán,23,Colombia,Vitória Guimarães,ST,ST,163.0,Left,"Jul 1, 2017",23,1648,345,Medium,Medium,70,70,48,69,26,62,19.0,69.0,69.0,69.0,63.0,66.0,66.0,66.0,63.0,62.0,62.0,62.0,60.0,54.0,54.0,54.0,60.0,43.0,42.0,42.0,42.0,43.0,42.0,42.0,42.0,42.0,42.0,15.0,69,7.176091259055681,3.6989700043360187,7.544068044350276
49,I. Ouattara,19,France,LOSC Lille,ST,ST,163.0,Left,"Jul 8, 2020",19,1436,303,Medium,Medium,69,62,47,56,22,47,4.0,59.0,59.0,59.0,57.0,57.0,57.0,57.0,57.0,55.0,55.0,55.0,55.0,48.0,48.0,48.0,55.0,40.0,36.0,36.0,36.0,40.0,38.0,33.0,33.0,33.0,38.0,17.0,59,5.511883360978874,3.4771212547196626,5.914343157119441
50,F. Acerbi,32,Italy,Lazio,CB,CB,194.0,Left,"Jul 11, 2018",87,1872,406,Medium,High,62,50,62,63,86,83,69.0,60.0,60.0,60.0,56.0,60.0,60.0,60.0,56.0,62.0,62.0,62.0,60.0,71.0,71.0,71.0,60.0,73.0,81.0,81.0,81.0,73.0,75.0,83.0,83.0,83.0,75.0,19.0,83,8.217483944213907,4.8750612633917,8.44870631990508
51,S. Limbombe,29,Belgium,Oud-Heverlee Leuven,RM,RM,157.0,Right,"Jan 31, 2020",30,1763,366,Medium,Low,82,64,62,71,32,55,5.0,64.0,64.0,64.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,66.0,59.0,59.0,59.0,66.0,51.0,47.0,47.0,47.0,51.0,48.0,42.0,42.0,42.0,48.0,16.0,67,5.8750612633917,3.6989700043360187,7.041392685158225
52,K. Thomas,23,England,Doncaster Rovers,ST,ST LW,168.0,Left,"Oct 4, 2019",23,1493,327,Medium,Medium,74,57,43,57,32,64,5.0,60.0,60.0,60.0,55.0,56.0,56.0,56.0,55.0,54.0,54.0,54.0,53.0,48.0,48.0,48.0,53.0,43.0,43.0,43.0,43.0,43.0,43.0,45.0,45.0,45.0,43.0,15.0,61,5.544068044350276,3.4771212547196626,5.834420703681532
53,H. Villalba,25,Paraguay,Club Libertad,LM,RM LM RW,165.0,Left,"Jan 31, 2020",44,1926,416,High,Medium,93,72,64,80,45,62,32.0,73.0,73.0,73.0,75.0,75.0,75.0,75.0,75.0,73.0,73.0,73.0,73.0,68.0,68.0,68.0,73.0,60.0,58.0,58.0,58.0,60.0,58.0,53.0,53.0,53.0,58.0,17.0,74,7.812913356642856,2.6989700043360187,8.170261715394957
54,E. Hagen,20,Norway,FK Bodø/Glimt,CAM,CM,154.0,Right,"Sep 10, 2020",40,1495,324,Medium,Medium,65,49,56,58,45,51,4.0,53.0,53.0,53.0,56.0,56.0,56.0,56.0,56.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,57.0,53.0,53.0,53.0,53.0,53.0,52.0,48.0,48.0,48.0,52.0,15.0,57,5.2552725051033065,2.8750612633917,5.416640507338281
55,Eric Botteghin,32,Brazil,Feyenoord,CB,CB,196.0,Right,"Aug 13, 2015",77,1497,316,Low,High,32,35,45,49,74,81,18.0,47.0,47.0,47.0,42.0,44.0,44.0,44.0,42.0,45.0,45.0,45.0,45.0,53.0,53.0,53.0,45.0,58.0,67.0,67.0,67.0,58.0,61.0,73.0,73.0,73.0,61.0,20.0,73,7.414973347970818,4.041392685158225,7.556302500767287
56,T. Hübers,23,Germany,Hannover 96,CB,CB,181.0,Right,"Jul 1, 2016",68,1604,352,Medium,Medium,66,39,54,55,67,71,24.0,53.0,53.0,53.0,52.0,53.0,53.0,53.0,52.0,54.0,54.0,54.0,55.0,57.0,57.0,57.0,55.0,61.0,64.0,64.0,64.0,61.0,63.0,68.0,68.0,68.0,63.0,17.0,68,7.041392685158225,3.9030899869919438,7.2552725051033065
57,Arthur,23,Brazil,Juventus,CM,CM,161.0,Right,"Sep 1, 2020",76,2163,454,Medium,Medium,66,73,82,87,75,71,556.0,75.0,75.0,75.0,80.0,80.0,80.0,80.0,80.0,83.0,83.0,83.0,80.0,84.0,84.0,84.0,80.0,78.0,81.0,81.0,81.0,78.0,76.0,74.0,74.0,74.0,76.0,19.0,84,7.6127838567197355,4.991226075692495,8.8494194137969
58,Yun Suk Young,30,Korea Republic,Busan IPark,LB,LB CB RB,163.0,Left,"Jan 6, 2017",65,1859,398,Medium,High,76,59,61,66,65,71,7.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,64.0,65.0,63.0,63.0,63.0,65.0,65.0,64.0,64.0,64.0,65.0,65.0,65.0,65.0,65.0,65.0,17.0,67,5.778151250383644,3.4771212547196626,0.0
60,A. Sánchez,23,Peru,Club Atlético Grau,CDM,CDM CM,154.0,Right,"May 1, 2017",55,1533,338,Medium,Medium,77,35,55,57,55,59,3.0,51.0,51.0,51.0,56.0,54.0,54.0,54.0,56.0,56.0,56.0,56.0,58.0,57.0,57.0,57.0,58.0,60.0,60.0,60.0,60.0,60.0,59.0,57.0,57.0,57.0,59.0,14.0,61,5.511883360978874,2.6989700043360187,5.88309335857569
61,Bruno,35,Spain,Villarreal CF,CM,CM CDM,161.0,Left,"Jul 1, 2005",76,1888,382,Medium,High,31,70,76,70,74,61,3.0,67.0,67.0,67.0,66.0,70.0,70.0,70.0,66.0,72.0,72.0,72.0,66.0,74.0,74.0,74.0,66.0,65.0,74.0,74.0,74.0,65.0,65.0,72.0,72.0,72.0,65.0,17.0,76,7.505149978319906,4.342422680822207,7.826074802700826
62,Iñaki Álvarez,23,Spain,CA Osasuna,GK,GK,168.0,Right,"Jul 1, 2018",8,913,345,Medium,Medium,63,67,61,65,25,64,3.0,19.0,19.0,19.0,15.0,17.0,17.0,17.0,15.0,17.0,17.0,17.0,17.0,19.0,19.0,19.0,17.0,17.0,20.0,20.0,20.0,17.0,17.0,19.0,19.0,19.0,17.0,62.0,63,5.676693609624866,3.6020599913279625,7.041392685158225
63,N. Balogh,23,Hungary,Hull City,ST,ST,179.0,Right,"Sep 16, 2019",30,1631,362,Medium,Medium,74,62,61,70,34,61,3.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,67.0,66.0,66.0,66.0,65.0,60.0,60.0,60.0,65.0,50.0,49.0,49.0,49.0,50.0,48.0,46.0,46.0,46.0,48.0,13.0,67,7.041392685158225,3.6989700043360187,7.361727836017593
64,Borja Sainz,19,Spain,Deportivo Alavés,RM,RM CAM,165.0,Right,"Jul 1, 2019",35,1574,337,Medium,Medium,75,51,60,67,35,49,20.0,57.0,57.0,57.0,64.0,62.0,62.0,62.0,64.0,62.0,62.0,62.0,64.0,58.0,58.0,58.0,64.0,54.0,50.0,50.0,50.0,54.0,51.0,42.0,42.0,42.0,51.0,15.0,65,6.0,3.4771212547196626,7.431363764158987
65,H. Ziyech,27,Morocco,Chelsea,CAM,CAM RW,143.0,Left,"Jul 1, 2020",44,2096,443,High,High,80,76,87,84,50,66,391.0,77.0,77.0,77.0,83.0,82.0,82.0,82.0,83.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,84.0,70.0,70.0,70.0,70.0,70.0,66.0,57.0,57.0,57.0,66.0,18.0,85,7.643452676486188,5.146128035678238,8.939019776448667
66,D. Musto,31,Argentina,SD Huesca,CDM,CDM,176.0,Right,"Jul 5, 2017",66,1746,369,Low,Medium,46,49,66,62,70,76,6.0,59.0,59.0,59.0,59.0,60.0,60.0,60.0,59.0,63.0,63.0,63.0,61.0,69.0,69.0,69.0,61.0,66.0,72.0,72.0,72.0,66.0,66.0,71.0,71.0,71.0,66.0,19.0,73,7.431363764158987,4.176091259055681,0.0
